Synthesizer,Complexity,Entity Types,Field Count,Uses Join,Return Type
Task-CreateFacebook-lJxPzgZ0_,medium,"wsbvnext, mktgasst",8,True,dynamic
Task-HolidayTips-Sales-Tile-Hheu6jpl4,simple,,0,False,empty_array
Task-ConnectInstagram-OJFRzVo1V,medium,"wsbvnext, mktgasst",10,True,dynamic
Task-ImportSubscribersC19-zmAmJk57a,simple,wsbvnext,6,False,dynamic
Task-PostOLSProductGMB-Composer-WX9wdWSpf,medium,"wsbvnext, mktgasst",10,True,dynamic
DIFY-RequestSocialPost-FkIUvG_jS,simple,wsbvnext,3,False,dynamic
Guidance-DmFull-SocialLocal-1-ADqrYOoKy,medium,"wsbvnext, mktgasst",8,True,dynamic
Guidance-DmFull-SocialLocalEmail-1-gqOdjJjQu,medium,"wsbvnext, mktgasst",8,True,dynamic
Guidance-ProductsAppts-1-FCmeBLtjA,medium,"wsbvnext, mktgasst",9,True,dynamic
Task-Marketing-Checklist-6YjLchphX,simple,,0,False,empty_array
Task-AddMarketplaceProducts-28gG3LLu5,simple,wsbvnext,6,False,dynamic
Task-FirstEmailCampaignC19-nrezDgjU~,simple,wsbvnext,6,False,dynamic
Task-FacebookAds-Direct-skYt7juRJ,medium,"wsbvnext, mktgasst",9,True,dynamic
Task-AddWidgetSocialLink-4CAcVnOxs,medium,"wsbvnext, mktgasst",10,True,dynamic
Task-DoPostToFacebook-Composer-6vaOpXKQY,complex,"wsbvnext, mktgasst",7,True,spread_operator
Task-ConnectYourEmail-ydde1aa~_,simple,wsbvnext,2,False,dynamic
Task-DIYSocialAds-2Rz6HLNBa,medium,"wsbvnext, mktgasst",6,True,dynamic
SetupO365-9S2CsmNNg,complex,"o365, wsbvnext",11,True,dynamic
Task-NeverMissMessage-civlq1Mso,simple,wsbvnext,2,False,dynamic
Task-CreateGMB-Appointments-Tile-DKBrslslz,simple,,0,False,empty_array
Task-ContactSection-wbAdmNLvR,simple,wsbvnext,1,False,empty_array
Task-AddProductsLocal-H089y5Ocg,simple,wsbvnext,4,False,dynamic
Task-SetupOLSPayment-Yra6mJk4y,simple,wsbvnext,6,False,dynamic
Task-HeaderCTAtoContact-_ILcgYwDS,simple,wsbvnext,2,False,dynamic
Task-ChooseTheme-rAQz4cW5H,simple,wsbvnext,2,False,dynamic
Task-PublishWebsiteV2-Orders-Tile-Wqlujx1J3,simple,,0,False,empty_array
Task-ExploreHub-aPyAmCbrm,medium,"wsbvnext, uce",0,False,empty_array
Task-ViewMySubscribers-TCLmO4CU3,simple,wsbvnext,0,False,dynamic
